Customer Name,Customer Segment,Customer State,Order Date,Order ID,Order Priority,Product Category,Product Container,Product Name,Product Sub-Category,Region,Row ID,Ship Date,Ship Mode,Zip Code,Discount,Number of Records,Order Quantity,Product Base Margin,Profit,Sales,Shipping Cost,Unit Price
Jessica Myrick,Small Business,Wisconsin,18/06/2007 12:00:00 SA,28774,High,Office Supplies,Small Box,"Perma STOR-ALL™ Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",Storage & Organization,Central,4031,19/06/2007 12:00:00 SA,Regular Air,53081,"0,1",1,32,"0,68",($112),$180,"4,69","5,98"
Matt Collister,Home Office,Idaho,18/06/2007 12:00:00 SA,13729,Not Specified,Office Supplies,Large Box,Safco Industrial Wire Shelving,Storage & Organization,West,1914,20/06/2007 12:00:00 SA,Express Air,83877,"0,08",1,9,"0,82",($343),$872,35,"95,99"
Alan Schoenberger,Corporate,Colorado,19/06/2007 12:00:00 SA,37537,Low,Furniture,Jumbo Drum,Hon 4070 Series Pagoda™ Armless Upholstered Stacking Chairs,Chairs & Chairmats,West,5272,19/06/2007 12:00:00 SA,Delivery Truck,80001,0,1,4,"0,56",($193),$1.239,"48,8","291,73"
Elizabeth Moffitt,Consumer,Connecticut,19/06/2007 12:00:00 SA,44069,Critical,Office Supplies,Wrap Bag,White GlueTop Scratch Pads,Paper,East,6224,19/06/2007 12:00:00 SA,Regular Air,06928,"0,08",1,43,"0,39",$248,$615,"1,97","15,04"
Alan Schoenberger,Corporate,Colorado,19/06/2007 12:00:00 SA,37537,Low,Furniture,Jumbo Drum,Hon Valutask™ Swivel Chairs,Chairs & Chairmats,West,5273,21/06/2007 12:00:00 SA,Delivery Truck,80001,"0,07",1,43,"0,69",($1.050),$4.083,45,"100,98"
Elizabeth Moffitt,Consumer,Connecticut,19/06/2007 12:00:00 SA,44069,Critical,Office Supplies,Wrap Bag,"Black Print Carbonless Snap-Off® Rapid Letter, 8 1/2"" x 7""",Paper,East,6225,21/06/2007 12:00:00 SA,Express Air,06928,"0,09",1,16,"0,4",$27,$138,"2,15","9,11"
David Philippe,Consumer,New York,19/06/2007 12:00:00 SA,9285,Critical,Office Supplies,Small Box,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",Binders and Binder Accessories,East,1279,21/06/2007 12:00:00 SA,Regular Air,14210,"0,06",1,3,"0,36",($12),$125,"2,99","40,98"
Alan Schoenberger,Corporate,Colorado,19/06/2007 12:00:00 SA,37537,Low,Office Supplies,Small Box,"Dual Level, Single-Width Filing Carts",Storage & Organization,West,5274,26/06/2007 12:00:00 SA,Regular Air,80001,"0,05",1,32,"0,59",$1.438,$4.902,"7,07","155,06"
Patrick Jones,Home Office,Alabama,20/06/2007 12:00:00 SA,40354,High,Furniture,Jumbo Box,Bush Advantage Collection® Round Conference Table,Tables,South,5704,21/06/2007 12:00:00 SA,Delivery Truck,36344,"0,09",1,4,"0,64",($93),$698,"52,2","212,6"
Larry Tron,Home Office,Virginia,20/06/2007 12:00:00 SA,9762,High,Furniture,Medium Box,36X48 HARDFLOOR CHAIRMAT,Office Furnishings,South,1336,21/06/2007 12:00:00 SA,Regular Air,24157,"0,05",1,12,"0,78",($146),$263,"21,2","20,98"
Patrick Jones,Home Office,Alabama,20/06/2007 12:00:00 SA,40354,High,Office Supplies,Small Box,Avery Heavy-Duty EZD ™ Binder With Locking Rings,Binders and Binder Accessories,South,5705,21/06/2007 12:00:00 SA,Regular Air,36344,"0,03",1,29,"0,37",$13,$173,"2,99","5,58"
Alex Russell,Home Office,South Carolina,20/06/2007 12:00:00 SA,7909,High,Office Supplies,Wrap Bag,"Dixon Prang® Watercolor Pencils, 10-Color Set with Brush",Pens & Art Supplies,South,1074,21/06/2007 12:00:00 SA,Regular Air,29808,"0,03",1,29,"0,44",$25,$122,"1,2","4,26"
Bill Donatelli,Corporate,New York,20/06/2007 12:00:00 SA,30016,Critical,Office Supplies,Small Box,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),Paper,East,4223,22/06/2007 12:00:00 SA,Regular Air,14925,"0,03",1,15,"0,4",($42),$86,"5,66","5,28"
Ann Steele,Corporate,Idaho,20/06/2007 12:00:00 SA,11972,Not Specified,Technology,Jumbo Drum,Panasonic KX-P2130 Dot Matrix Printer,Office Machines,West,1663,22/06/2007 12:00:00 SA,Delivery Truck,83810,0,1,4,"0,59",($520),$896,"14,7","213,45"
Andy Reiter,Corporate,Maryland,20/06/2007 12:00:00 SA,9637,Low,Technology,Small Box,"Fellowes Mobile Numeric Keypad, Graphite",Computer Peripherals,South,1315,22/06/2007 12:00:00 SA,Regular Air,20601,"0,08",1,12,"0,66",($236),$522,"16,71","43,22"
Bill Donatelli,Corporate,New York,20/06/2007 12:00:00 SA,30016,Critical,Technology,Small Box,T18,Telephones and Communication,East,4224,23/06/2007 12:00:00 SA,Regular Air,14925,"0,01",1,8,"0,57",($213),$755,"2,5","110,99"
Andy Reiter,Corporate,Maryland,20/06/2007 12:00:00 SA,9637,Low,Office Supplies,Wrap Bag,"Staples Wirebound Steno Books, 6"" x 9"", 12/Pack",Paper,South,1316,24/06/2007 12:00:00 SA,Regular Air,20601,"0,04",1,12,"0,36",$32,$124,"2,27","10,14"
Andy Reiter,Corporate,Maryland,20/06/2007 12:00:00 SA,9637,Low,Technology,Large Box,Polycom ViaVideo™ Desktop Video Communications Unit,Office Machines,South,1317,27/06/2007 12:00:00 SA,Regular Air,20601,"0,05",1,49,"0,37",$14.440,$28.359,"24,49","574,74"
Dave Hallsten,Home Office,Texas,21/06/2007 12:00:00 SA,49730,High,Furniture,Jumbo Drum,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,Chairs & Chairmats,Central,6953,22/06/2007 12:00:00 SA,Delivery Truck,78702,"0,06",1,3,"0,61",($395),$1.040,30,"350,98"
Tamara Dahlen,Corporate,Delaware,21/06/2007 12:00:00 SA,8710,Critical,Office Supplies,Small Box,Cardinal Poly Pocket Divider Pockets for Ring Binders,Binders and Binder Accessories,East,1193,22/06/2007 12:00:00 SA,Regular Air,19936,"0,03",1,17,"0,4",($76),$63,"6,27","3,36"
Tamara Dahlen,Corporate,Delaware,21/06/2007 12:00:00 SA,8710,Critical,Office Supplies,Wrap Bag,"""While you Were Out"" Message Book, One Form per Page",Paper,East,1194,23/06/2007 12:00:00 SA,Express Air,19936,"0,07",1,42,"0,35",$8,$151,"1,93","3,71"
Valerie Dominguez,Corporate,Ohio,22/06/2007 12:00:00 SA,25601,Medium,Office Supplies,Small Box,"Perma STOR-ALL™ Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",Storage & Organization,Central,3588,23/06/2007 12:00:00 SA,Regular Air,45999,"0,09",1,43,"0,68",($131),$257,"4,69","5,98"
Craig Molinari,Small Business,Texas,22/06/2007 12:00:00 SA,28451,Critical,Office Supplies,Large Box,Tennsco Commercial Shelving,Storage & Organization,Central,3981,23/06/2007 12:00:00 SA,Regular Air,88595,0,1,14,"0,84",($404),$325,35,"20,34"
Craig Molinari,Small Business,Texas,22/06/2007 12:00:00 SA,28451,Critical,Office Supplies,Jumbo Drum,"Sauder Facets Collection Locker/File Cabinet, Sky Alder Finish",Storage & Organization,Central,3982,24/06/2007 12:00:00 SA,Delivery Truck,88595,"0,09",1,6,"0,65",($618),$2.165,99,"370,98"
Susan Vittorini,Home Office,New Jersey,22/06/2007 12:00:00 SA,52386,High,Technology,Jumbo Drum,Canon S750 Color Inkjet Printer,Office Machines,East,7352,24/06/2007 12:00:00 SA,Delivery Truck,07837,"0,08",1,6,"0,38",($217),$701,"26,3","120,97"
Craig Molinari,Small Business,Texas,22/06/2007 12:00:00 SA,28451,Critical,Technology,Jumbo Drum,Panasonic KX-P1150 Dot Matrix Printer,Office Machines,Central,3983,24/06/2007 12:00:00 SA,Delivery Truck,88595,0,1,33,"0,56",$1.055,$4.914,"17,85","145,45"
Corey Roper,Small Business,Washington,23/06/2007 12:00:00 SA,48226,Low,Furniture,Jumbo Box,"Bush Westfield Collection Bookcases, Fully Assembled",Bookcases,West,6773,23/06/2007 12:00:00 SA,Delivery Truck,98103,"0,02",1,23,"0,62",($109),$2.357,"35,84","100,98"
Julia West,Home Office,Mass,23/06/2007 12:00:00 SA,23488,Critical,Furniture,Jumbo Box,Whirlpool Upright Freezer,Bookcases,East,3283,24/06/2007 12:00:00 SA,Delivery Truck,02139,"0,04",1,30,"0,62",($11.054),$26.133,"44,55","880,98"
Muhammed Yedwab,Consumer,New York,23/06/2007 12:00:00 SA,16770,Critical,Office Supplies,Wrap Bag,"Sanford EarthWrite® Recycled Pencils, Medium Soft, #2",Pens & Art Supplies,East,2325,24/06/2007 12:00:00 SA,Regular Air,14709,"0,03",1,17,"0,57",$1,$37,"0,7","2,1"
Tracy Collins,Consumer,Illinois,23/06/2007 12:00:00 SA,16961,Not Specified,Technology,Small Pack,BASF Silver 74 Minute CD-R,Computer Peripherals,Central,2350,24/06/2007 12:00:00 SA,Regular Air,62924,"0,06",1,27,"0,51",($37),$47,"1,99","1,7"
Craig Leslie,Consumer,Idaho,23/06/2007 12:00:00 SA,14274,Not Specified,Technology,Small Box,Accessory35,Telephones and Communication,West,2001,24/06/2007 12:00:00 SA,Regular Air,83465,"0,03",1,2,"0,55",($164),$62,"1,1","35,99"
Craig Leslie,Consumer,Idaho,23/06/2007 12:00:00 SA,14274,Not Specified,Furniture,Jumbo Drum,Novimex Swivel Fabric Task Chair,Chairs & Chairmats,West,2002,25/06/2007 12:00:00 SA,Delivery Truck,83465,"0,01",1,23,"0,74",$112,$3.674,30,"150,98"
Victor Price,Consumer,North Carolina,23/06/2007 12:00:00 SA,6854,Medium,Furniture,Small Pack,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Office Furnishings,South,947,25/06/2007 12:00:00 SA,Express Air,27114,"0,05",1,19,"0,37",$2,$130,"4,95","6,64"
Victor Price,Consumer,North Carolina,23/06/2007 12:00:00 SA,6854,Medium,Office Supplies,Small Box,GBC VeloBinder Strips,Binders and Binder Accessories,South,948,25/06/2007 12:00:00 SA,Express Air,27114,"0,07",1,1,"0,35",($2),$22,"6,16","7,68"
Craig Leslie,Consumer,Idaho,23/06/2007 12:00:00 SA,14274,Not Specified,Office Supplies,Medium Box,Eldon Portable Mobile Manager,Storage & Organization,West,2003,25/06/2007 12:00:00 SA,Express Air,83465,"0,01",1,46,"0,58",($41),$1.414,"13,99","28,28"
Tracy Collins,Consumer,Illinois,23/06/2007 12:00:00 SA,16961,Not Specified,Office Supplies,Small Box,Xerox 19,Paper,Central,2351,25/06/2007 12:00:00 SA,Regular Air,62924,"0,01",1,34,"0,4",$433,$1.090,"5,09","30,98"
Maribeth Schnelling,Corporate,Illinois,23/06/2007 12:00:00 SA,41094,Low,Office Supplies,Small Box,Xerox 227,Paper,Central,5794,25/06/2007 12:00:00 SA,Regular Air,62924,"0,09",1,46,"0,37",($226),$299,"8,73","6,48"
Julia Barnett,Home Office,Florida,23/06/2007 12:00:00 SA,23488,High,Office Supplies,Wrap Bag,Newell 342,Pens & Art Supplies,South,3284,25/06/2007 12:00:00 SA,Regular Air,32119,"0,03",1,29,"0,56",($73),$102,"3,97","3,28"
Maribeth Schnelling,Corporate,Illinois,23/06/2007 12:00:00 SA,41094,Low,Office Supplies,Large Box,Tennsco Commercial Shelving,Storage & Organization,Central,5795,27/06/2007 12:00:00 SA,Regular Air,62924,"0,05",1,6,"0,84",($153),$159,35,"20,34"
Chloris Kastensmidt,Consumer,New York,24/06/2007 12:00:00 SA,43909,High,Office Supplies,Small Box,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Binders and Binder Accessories,East,6199,25/06/2007 12:00:00 SA,Regular Air,14210,"0,08",1,46,"0,37",($199),$737,"13,18","15,99"
Jasper Cacioppo,Home Office,North Carolina,24/06/2007 12:00:00 SA,3073,Medium,Office Supplies,Small Box,Avery Reinforcements for Hole-Punch Pages,Binders and Binder Accessories,South,450,25/06/2007 12:00:00 SA,Regular Air,27801,"0,05",1,3,"0,4",($12),$11,"4,77","1,98"
Jasper Cacioppo,Home Office,North Carolina,24/06/2007 12:00:00 SA,3073,Medium,Technology,Large Box,Sony Playstation Deluxe,Copiers and Fax,South,452,25/06/2007 12:00:00 SA,Express Air,27801,"0,07",1,3,"0,41",($2.315),$2.120,"24,49","699,99"
Jasper Cacioppo,Home Office,North Carolina,24/06/2007 12:00:00 SA,3073,Medium,Technology,Large Box,Samsung Smoothtop Range,Office Machines,South,451,25/06/2007 12:00:00 SA,Regular Air,27801,"0,07",1,7,"0,39",$103,$45.924,"24,49","6783,02"
Pauline Chand,Small Business,Connecticut,24/06/2007 12:00:00 SA,32295,High,Technology,Small Box,i1000,Telephones and Communication,East,4540,25/06/2007 12:00:00 SA,Regular Air,06439,"0,07",1,11,"0,58",($112),$608,"5,99","65,99"
George Ashbrook,Consumer,Delaware,24/06/2007 12:00:00 SA,18405,Medium,Office Supplies,Small Box,Premium Transparent Presentation Covers by GBC,Binders and Binder Accessories,East,2538,26/06/2007 12:00:00 SA,Express Air,19934,"0,09",1,30,"0,37",$60,$611,"8,83","20,98"
George Ashbrook,Consumer,Delaware,24/06/2007 12:00:00 SA,18405,Medium,Technology,Small Box,Keytronic French Keyboard,Computer Peripherals,East,2539,27/06/2007 12:00:00 SA,Regular Air,19934,"0,03",1,2,"0,65",($263),$158,"14,52","73,98"
Benjamin Venier,Small Business,Maryland,24/06/2007 12:00:00 SA,33923,Low,Technology,Small Box,i1000,Telephones and Communication,South,4778,28/06/2007 12:00:00 SA,Regular Air,21794,"0,05",1,34,"0,58",$426,$1.962,"5,99","65,99"
Julie Kriz,Corporate,Illinois,24/06/2007 12:00:00 SA,40704,Low,Office Supplies,Wrap Bag,Newell 310,Pens & Art Supplies,Central,5733,29/06/2007 12:00:00 SA,Regular Air,62444,"0,01",1,6,"0,56",($2),$12,"0,7","1,76"
Sandra Flanagan,Home Office,Utah,25/06/2007 12:00:00 SA,4193,High,Furniture,Small Pack,"Executive Impressions 14"" Two-Color Numerals Wall Clock",Office Furnishings,West,611,25/06/2007 12:00:00 SA,Regular Air,84791,"0,03",1,3,"0,44",$64,$76,"8,99","22,72"
Sandra Flanagan,Home Office,Utah,25/06/2007 12:00:00 SA,4193,High,Office Supplies,Small Box,Avery 491,Labels,West,612,25/06/2007 12:00:00 SA,Regular Air,84791,"0,07",1,16,"0,39",$14,$64,"0,99","4,13"
Luke Schmidt,Home Office,Florida,25/06/2007 12:00:00 SA,30083,Not Specified,Office Supplies,Small Box,Acco 6 Outlet Guardian Premium Surge Suppressor,Appliances,South,4234,26/06/2007 12:00:00 SA,Regular Air,32122,"0,07",1,23,"0,58",$20,$324,"3,5","14,56"
Ruben Dartt,Corporate,New York,25/06/2007 12:00:00 SA,7203,High,Office Supplies,Small Box,GBC DocuBind TL300 Electric Binding System,Binders and Binder Accessories,East,998,27/06/2007 12:00:00 SA,Regular Air,10457,"0,03",1,25,"0,38",$9.296,$21.752,"19,99","896,99"
Mark Haberlin,Small Business,Colorado,26/06/2007 12:00:00 SA,31715,Not Specified,Office Supplies,Wrap Bag,Newell 337,Pens & Art Supplies,West,4449,26/06/2007 12:00:00 SA,Regular Air,81124,"0,05",1,44,"0,56",($117),$145,"3,97","3,28"
Joni Blumstein,Home Office,Connecticut,26/06/2007 12:00:00 SA,18561,Not Specified,Office Supplies,Small Box,"Avery 05222 Permanent Self-Adhesive File Folder Labels for Typewriters, on Rolls, White, 250/Roll",Labels,East,2571,27/06/2007 12:00:00 SA,Regular Air,06817,"0,02",1,9,"0,39",($39),$46,"6,89","4,13"
Mark Haberlin,Small Business,Colorado,26/06/2007 12:00:00 SA,31715,Not Specified,Office Supplies,Small Box,"Acco PRESSTEX® Data Binder with Storage Hooks, Dark Blue, 9 1/2"" X 11""",Binders and Binder Accessories,West,4450,27/06/2007 12:00:00 SA,Regular Air,81124,"0,01",1,11,"0,36",($54),$69,"7,57","5,38"
Cynthia Voltz,Corporate,Maryland,26/06/2007 12:00:00 SA,8576,High,Office Supplies,Small Pack,Boston 16765 Mini Stand Up Battery Pencil Sharpener,Pens & Art Supplies,South,1173,28/06/2007 12:00:00 SA,Express Air,20601,0,1,43,"0,59",($164),$541,"8,99","11,66"
Yana Sorensen,Corporate,California,26/06/2007 12:00:00 SA,58343,Not Specified,Office Supplies,Wrap Bag,Acco® Hot Clips™ Clips to Go,Rubber Bands,West,8161,28/06/2007 12:00:00 SA,Regular Air,93456,"0,07",1,39,"0,4",$11,$122,"1,35","3,29"
Mark Haberlin,Small Business,Colorado,26/06/2007 12:00:00 SA,31715,Not Specified,Office Supplies,Wrap Bag,Newell 339,Pens & Art Supplies,West,4451,28/06/2007 12:00:00 SA,Regular Air,81124,"0,09",1,24,"0,59",($4),$64,"0,97","2,78"
Olvera Toch,Home Office,Colorado,26/06/2007 12:00:00 SA,40097,Low,Office Supplies,Wrap Bag,12 Colored Short Pencils,Pens & Art Supplies,West,5666,01/07/2007 12:00:00 SA,Regular Air,80621,"0,1",1,47,"0,58",($71),$118,"2,4","2,6"
Benjamin Patterson,Corporate,Arizona,26/06/2007 12:00:00 SA,47138,Low,Technology,Small Box,M70,Telephones and Communication,West,6627,03/07/2007 12:00:00 SA,Regular Air,85301,"0,04",1,1,"0,59",($506),$108,"8,99","125,99"
Kristina Nunn,Consumer,Arizona,27/06/2007 12:00:00 SA,55367,Critical,Furniture,Jumbo Box,"Hon Metal Bookcases, Putty",Bookcases,West,7731,28/06/2007 12:00:00 SA,Delivery Truck,86409,"0,05",1,31,"0,56",($686),$2.137,"46,74","70,98"
Darren Powers,Corporate,Utah,27/06/2007 12:00:00 SA,14596,Critical,Office Supplies,Wrap Bag,Newell 337,Pens & Art Supplies,West,2045,28/06/2007 12:00:00 SA,Regular Air,84741,"0,06",1,19,"0,56",($54),$63,"3,97","3,28"
Ann Steele,Corporate,Idaho,27/06/2007 12:00:00 SA,44391,Not Specified,Office Supplies,Small Box,Xerox 1996,Paper,West,6273,28/06/2007 12:00:00 SA,Regular Air,83810,"0,02",1,16,"0,37",($85),$113,"9,17","6,48"
Rob Haberlin,Consumer,Michigan,27/06/2007 12:00:00 SA,33988,Medium,Technology,Small Pack,"Imation 3.5, DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",Computer Peripherals,Central,4787,28/06/2007 12:00:00 SA,Regular Air,49877,0,1,30,"0,79",($128),$165,"5,14","5,02"
Giulietta Dortch,Corporate,Georgia,27/06/2007 12:00:00 SA,28999,High,Technology,Small Pack,"Imation Neon 80 Minute CD-R Spindle, 50/Pack",Computer Peripherals,South,4073,28/06/2007 12:00:00 SA,Regular Air,39901,"0,02",1,34,"0,45",$420,$1.178,"1,99","33,98"
Darren Powers,Corporate,Utah,27/06/2007 12:00:00 SA,14596,Critical,Furniture,Wrap Bag,Document Clip Frames,Office Furnishings,West,2046,29/06/2007 12:00:00 SA,Regular Air,84741,"0,01",1,24,"0,43",$73,$199,"0,96","8,34"
Maria Bertelson,Home Office,New Jersey,27/06/2007 12:00:00 SA,28290,Low,Office Supplies,Small Box,Fellowes Super Stor/Drawer® Files,Storage & Organization,East,3964,29/06/2007 12:00:00 SA,Express Air,07001,"0,01",1,3,"0,66",($179),$524,"19,99","161,55"
Kristina Nunn,Consumer,Arizona,27/06/2007 12:00:00 SA,55367,Critical,Office Supplies,Wrap Bag,Newell 309,Pens & Art Supplies,West,7732,29/06/2007 12:00:00 SA,Regular Air,86409,"0,05",1,48,"0,55",$130,$571,"2,36","11,55"
Sean Wendt,Corporate,Mass,27/06/2007 12:00:00 SA,31553,Critical,Office Supplies,Small Box,Multimedia Mailers,Envelopes,East,4425,29/06/2007 12:00:00 SA,Regular Air,01059,"0,09",1,32,"0,39",$1.908,$4.907,"19,99","162,93"
Maria Bertelson,Home Office,New Jersey,27/06/2007 12:00:00 SA,28290,Low,Technology,Small Box,"Fellowes Internet Keyboard, Platinum",Computer Peripherals,East,3965,01/07/2007 12:00:00 SA,Express Air,07001,"0,05",1,43,"0,74",($154),$1.307,"8,65","30,42"
Michelle Moray,Corporate,Virginia,27/06/2007 12:00:00 SA,20037,Low,Furniture,Small Box,"Deflect-o SuperTray™ Unbreakable Stackable Tray, Letter, Black",Office Furnishings,South,2776,02/07/2007 12:00:00 SA,Regular Air,23970,"0,02",1,35,"0,42",$340,$1.009,"8,55","29,18"
Michelle Moray,Corporate,Virginia,27/06/2007 12:00:00 SA,20037,Low,Technology,Jumbo Drum,Panasonic KX-P3200 Dot Matrix Printer,Office Machines,South,2775,02/07/2007 12:00:00 SA,Delivery Truck,23970,"0,03",1,49,"0,57",$4.913,$15.137,"14,7","297,64"
Bradley Drucker,Small Business,Washington,28/06/2007 12:00:00 SA,33797,Not Specified,Office Supplies,Small Box,Xerox 188,Paper,West,4755,28/06/2007 12:00:00 SA,Regular Air,99403,"0,03",1,18,"0,36",$31,$217,"5,01","11,34"
Bradley Drucker,Small Business,Washington,28/06/2007 12:00:00 SA,33797,Not Specified,Technology,Jumbo Drum,Panasonic KX-P3200 Dot Matrix Printer,Office Machines,West,4754,28/06/2007 12:00:00 SA,Delivery Truck,99403,"0,08",1,20,"0,57",$654,$4.531,"14,7","297,64"
Bradley Drucker,Small Business,Washington,28/06/2007 12:00:00 SA,33797,Not Specified,Furniture,Large Box,"Tensor ""Hersey Kiss"" Styled Floor Lamp",Office Furnishings,West,4756,29/06/2007 12:00:00 SA,Regular Air,99403,"0,02",1,44,"0,73",($449),$575,"14,37","12,99"
Bradley Drucker,Small Business,Washington,28/06/2007 12:00:00 SA,33797,Not Specified,Office Supplies,Medium Box,Holmes Odor Grabber,Appliances,West,4757,29/06/2007 12:00:00 SA,Regular Air,99403,"0,06",1,18,"0,52",($22),$263,"6,75","14,42"
Alan Barnes,Corporate,Michigan,28/06/2007 12:00:00 SA,19655,High,Technology,Small Pack,Verbatim DVD-R 4.7GB authoring disc,Computer Peripherals,Central,2726,29/06/2007 12:00:00 SA,Regular Air,48001,"0,06",1,31,"0,51",$304,$1.143,"1,99","39,24"
Bradley Drucker,Small Business,Washington,28/06/2007 12:00:00 SA,33797,Not Specified,Furniture,Small Box,Eldon Image Series Black Desk Accessories,Office Furnishings,West,4758,30/06/2007 12:00:00 SA,Express Air,99403,"0,05",1,29,"0,49",($104),$138,"6,6","4,14"
Andy Gerbode,Consumer,Texas,28/06/2007 12:00:00 SA,21830,Low,Technology,Jumbo Box,Okidata ML320 Series Turbo Dot Matrix Printers,Office Machines,Central,3040,05/07/2007 12:00:00 SA,Delivery Truck,88595,"0,08",1,19,"0,56",$907,$6.992,"12,06","399,98"
Cindy Schnelling,Corporate,Alabama,29/06/2007 12:00:00 SA,20549,Not Specified,Office Supplies,Small Box,Fellowes Super Stor/Drawer®,Storage & Organization,South,2855,30/06/2007 12:00:00 SA,Regular Air,36032,"0,09",1,40,"0,67",($569),$1.030,"19,99","27,75"
Greg Matthias,Home Office,Washington,29/06/2007 12:00:00 SA,7461,Low,Furniture,Jumbo Drum,Global Leather Executive Chair,Chairs & Chairmats,West,1024,01/07/2007 12:00:00 SA,Delivery Truck,98601,"0,05",1,12,"0,55",$594,$4.080,39,"350,99"
Rick Reed,Consumer,Idaho,29/06/2007 12:00:00 SA,43362,Critical,Office Supplies,Wrap Bag,Prang Dustless Chalk Sticks,Pens & Art Supplies,West,6122,01/07/2007 12:00:00 SA,Regular Air,83555,"0,04",1,33,"0,35",$3,$58,1,"1,68"
Liz Price,Consumer,Arizona,29/06/2007 12:00:00 SA,27813,Medium,Technology,Small Box,Targus USB Numeric Keypad,Computer Peripherals,West,3901,01/07/2007 12:00:00 SA,Regular Air,85233,"0,1",1,10,"0,74",($131),$401,"6,5","40,98"
Rick Reed,Consumer,Idaho,29/06/2007 12:00:00 SA,43362,Critical,Furniture,Jumbo Drum,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,Chairs & Chairmats,West,6123,02/07/2007 12:00:00 SA,Delivery Truck,83555,"0,03",1,45,"0,61",$4.277,$15.963,30,"350,98"
Guy Thornton,Corporate,New Mexico,29/06/2007 12:00:00 SA,37862,Not Specified,Office Supplies,Small Box,Belkin 8 Outlet SurgeMaster II Gold Surge Protector,Appliances,West,5327,02/07/2007 12:00:00 SA,Regular Air,87001,"0,01",1,27,"0,57",$452,$1.603,"3,99","59,98"
